Data,Casos,id,Municipio,Estado
2016-10-23,1,"3300100",ANGRA DOS REIS,RJ
2016-10-30,0,"3300100",ANGRA DOS REIS,RJ
2016-11-13,0,"3300100",ANGRA DOS REIS,RJ
2016-11-20,2,"3300100",ANGRA DOS REIS,RJ
2016-11-27,4,"3300100",ANGRA DOS REIS,RJ
2016-12-04,2,"3300100",ANGRA DOS REIS,RJ
2016-12-11,2,"3300100",ANGRA DOS REIS,RJ
2016-12-18,2,"3300100",ANGRA DOS REIS,RJ
2016-12-25,8,"3300100",ANGRA DOS REIS,RJ
2017-01-01,4,"3300100",ANGRA DOS REIS,RJ
2017-01-08,6,"3300100",ANGRA DOS REIS,RJ
2017-01-15,21,"3300100",ANGRA DOS REIS,RJ
2017-01-22,13,"3300100",ANGRA DOS REIS,RJ
2017-01-29,17,"3300100",ANGRA DOS REIS,RJ
2017-02-05,9,"3300100",ANGRA DOS REIS,RJ
2017-02-12,10,"3300100",ANGRA DOS REIS,RJ
2017-02-19,8,"3300100",ANGRA DOS REIS,RJ
2017-02-26,3,"3300100",ANGRA DOS REIS,RJ
2017-03-05,8,"3300100",ANGRA DOS REIS,RJ
2017-03-12,4,"3300100",ANGRA DOS REIS,RJ
2017-03-19,2,"3300100",ANGRA DOS REIS,RJ
2017-03-26,3,"3300100",ANGRA DOS REIS,RJ
2017-04-02,18,"3300100",ANGRA DOS REIS,RJ
2017-04-09,18,"3300100",ANGRA DOS REIS,RJ
2017-04-16,4,"3300100",ANGRA DOS REIS,RJ
2017-04-23,15,"3300100",ANGRA DOS REIS,RJ
2017-04-30,15,"3300100",ANGRA DOS REIS,RJ
2017-05-07,14,"3300100",ANGRA DOS REIS,RJ
2017-05-21,15,"3300100",ANGRA DOS REIS,RJ
2017-05-28,18,"3300100",ANGRA DOS REIS,RJ
2017-06-04,6,"3300100",ANGRA DOS REIS,RJ
2017-06-11,9,"3300100",ANGRA DOS REIS,RJ
2017-06-18,10,"3300100",ANGRA DOS REIS,RJ
2017-06-25,22,"3300100",ANGRA DOS REIS,RJ
2017-07-02,16,"3300100",ANGRA DOS REIS,RJ
2017-07-09,21,"3300100",ANGRA DOS REIS,RJ
2017-07-16,14,"3300100",ANGRA DOS REIS,RJ
2017-07-23,13,"3300100",ANGRA DOS REIS,RJ
2017-07-30,8,"3300100",ANGRA DOS REIS,RJ
2017-08-06,4,"3300100",ANGRA DOS REIS,RJ
2017-08-20,11,"3300100",ANGRA DOS REIS,RJ
2017-08-27,9,"3300100",ANGRA DOS REIS,RJ
2017-09-03,2,"3300100",ANGRA DOS REIS,RJ
2017-09-10,2,"3300100",ANGRA DOS REIS,RJ
2017-09-17,6,"3300100",ANGRA DOS REIS,RJ
2017-09-24,4,"3300100",ANGRA DOS REIS,RJ
2017-10-01,3,"3300100",ANGRA DOS REIS,RJ
2017-10-08,2,"3300100",ANGRA DOS REIS,RJ
2017-10-15,1,"3300100",ANGRA DOS REIS,RJ
2017-10-22,5,"3300100",ANGRA DOS REIS,RJ
2017-10-29,2,"3300100",ANGRA DOS REIS,RJ
2017-11-05,6,"3300100",ANGRA DOS REIS,RJ
2017-11-12,3,"3300100",ANGRA DOS REIS,RJ
2017-11-19,2,"3300100",ANGRA DOS REIS,RJ
2017-11-26,4,"3300100",ANGRA DOS REIS,RJ
2017-12-03,1,"3300100",ANGRA DOS REIS,RJ
2017-12-10,7,"3300100",ANGRA DOS REIS,RJ
2017-12-24,1,"3300100",ANGRA DOS REIS,RJ
2017-12-31,0,"3300100",ANGRA DOS REIS,RJ
2018-01-07,3,"3300100",ANGRA DOS REIS,RJ
2018-01-14,19,"3300100",ANGRA DOS REIS,RJ
